"No.","Time","Source","Destination","Protocol","Length","Info","Data","Data Length","Bytes"
"1","00:47:49.335048","host","controller","HCI_CMD","10","Sent Vendor Command 0x001A (opcode 0xFC1A)","","",""
"2","00:47:49.336202","controller","host","HCI_EVT","7","Rcvd Command Complete (Vendor Command 0x001A [opcode 0xFC1A])","","",""
"3","00:47:49.337167","host","controller","HCI_CMD","10","Sent Vendor Command 0x0079 (opcode 0xFC79)","","",""
"4","00:47:49.338054","controller","host","HCI_EVT","7","Rcvd Command Complete (Vendor Command 0x0079 [opcode 0xFC79])","","",""
"5","00:47:49.338922","host","controller","HCI_CMD","7","Sent Vendor Command 0x0093 (opcode 0xFC93)","","",""
"6","00:47:49.339809","controller","host","HCI_EVT","7","Rcvd Command Complete (Vendor Command 0x0093 [opcode 0xFC93])","","",""
"7","00:47:49.341391","host","controller","HCI_CMD","11","Sent Vendor Command 0x007A (opcode 0xFC7A)","","",""
"8","00:47:49.342809","controller","host","HCI_EVT","7","Rcvd Command Complete (Vendor Command 0x007A [opcode 0xFC7A])","","",""
"9","00:47:49.343850","host","controller","HCI_CMD","4","Sent Reset","","",""
"10","00:47:49.360442","controller","host","HCI_EVT","7","Rcvd Command Complete (Reset)","","",""
"11","00:47:49.361538","host","controller","HCI_CMD","5","Sent Vendor Command 0x00BE (opcode 0xFCBE)","","",""
"12","00:47:49.362666","controller","host","HCI_EVT","7","Rcvd Command Complete (Vendor Command 0x00BE [opcode 0xFCBE])","","",""
"13","00:47:49.367793","host","controller","HCI_CMD","4","Sent Reset","","",""
"14","00:47:49.394129","controller","host","HCI_EVT","7","Rcvd Command Complete (Reset)","","",""
"15","00:47:49.395170","host","controller","HCI_CMD","4","Sent Read Buffer Size","","",""
"16","00:47:49.396629","controller","host","HCI_EVT","14","Rcvd Command Complete (Read Buffer Size)","","",""
"17","00:47:49.397506","host","controller","HCI_CMD","11","Sent Host Buffer Size","","",""
"18","00:47:49.399156","controller","host","HCI_EVT","7","Rcvd Command Complete (Host Buffer Size)","","",""
"19","00:47:49.400024","host","controller","HCI_CMD","4","Sent Read Local Version Information","","",""
"20","00:47:49.401671","controller","host","HCI_EVT","15","Rcvd Command Complete (Read Local Version Information)","","",""
"21","00:47:49.402560","host","controller","HCI_CMD","4","Sent Read BD ADDR","","",""
"22","00:47:49.404852","controller","host","HCI_EVT","13","Rcvd Command Complete (Read BD ADDR)","","",""
"23","00:47:49.405834","host","controller","HCI_CMD","4","Sent Read Local Supported Commands","","",""
"24","00:47:49.407343","controller","host","HCI_EVT","71","Rcvd Command Complete (Read Local Supported Commands)","","",""
"25","00:47:49.408244","host","controller","HCI_CMD","5","Sent Read Local Extended Features","","",""
"26","00:47:49.409772","controller","host","HCI_EVT","17","Rcvd Command Complete (Read Local Extended Features)","","",""
"27","00:47:49.411034","host","controller","HCI_CMD","5","Sent Read Local Extended Features","","",""
"28","00:47:49.412574","controller","host","HCI_EVT","17","Rcvd Command Complete (Read Local Extended Features)","","",""
"29","00:47:49.413830","host","controller","HCI_CMD","5","Sent Read Local Extended Features","","",""
"30","00:47:49.415400","controller","host","HCI_EVT","17","Rcvd Command Complete (Read Local Extended Features)","","",""
"31","00:47:49.416355","host","controller","HCI_CMD","5","Sent Write Simple Pairing Mode","","",""
"32","00:47:49.417914","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Simple Pairing Mode)","","",""
"33","00:47:49.418975","host","controller","HCI_CMD","6","Sent Write LE Host Supported","","",""
"34","00:47:49.420658","controller","host","HCI_EVT","7","Rcvd Command Complete (Write LE Host Supported)","","",""
