"No.","Time","Source","Destination","Protocol","Length","Info","Data Length","Data","Bytes"
"1","07:23:02.815482","host","controller","HCI_CMD","17","Sent Create Connection","","",""
"2","07:23:02.819785","controller","host","HCI_EVT","7","Rcvd Command Status (Create Connection)","","",""
"3","07:23:06.061267","controller","host","HCI_EVT","14","Rcvd Connect Complete","","",""
"4","07:23:06.064341","host","controller","HCI_CMD","6","Sent Read Clock offset","","",""
"5","07:23:06.066694","localhost ()","WbElectr_00:12:4a ()","L2CAP","15","Sent Information Request (Extended Features Mask)","","",""
"6","07:23:06.068602","controller","host","HCI_EVT","7","Rcvd Command Status (Read Clock offset)","","",""
"7","07:23:06.072196","controller","host","HCI_EVT","8","Rcvd Read Clock Offset Complete","","",""
"8","07:23:06.075300","host","controller","HCI_CMD","6","Sent Read Remote Version Information","","",""
"9","07:23:06.081864","controller","host","HCI_EVT","7","Rcvd Command Status (Read Remote Version Information)","","",""
"10","07:23:06.083843","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","",""
"11","07:23:06.085643","controller","host","HCI_EVT","11","Rcvd Read Remote Version Information Complete","","",""
"12","07:23:06.091754","host","controller","HCI_CMD","8","Sent Change Connection Packet Type","","",""
"13","07:23:06.093314","WbElectr_00:12:4a ()","localhost ()","L2CAP","21","Rcvd Information Response (Extended Features Mask, Success)","","",""
"14","07:23:06.094756","controller","host","HCI_EVT","7","Rcvd Command Status (Change Connection Packet Type)","","",""
"15","07:23:06.095812","localhost ()","WbElectr_00:12:4a ()","L2CAP","17","Sent Connection Request (SDP, SCID: 0x0044)","","",""
"16","07:23:06.098298","host","controller","HCI_CMD","8","Sent Write Link Policy Settings","","",""
"17","07:23:06.100913","controller","host","HCI_EVT","6","Rcvd Max Slots Change","","",""
"18","07:23:06.102098","controller","host","HCI_EVT","8","Rcvd Connection Packet Type Changed","","",""
"19","07:23:06.102914","controller","host","HCI_EVT","9","Rcvd Command Complete (Write Link Policy Settings)","","",""
"20","07:23:06.106093","host","controller","HCI_CMD","8","Sent Write Link Policy Settings","","",""
