"No.","Time","Source","Destination","Protocol","Length","Info","Data","Data Length","Bytes"
"1","01:04:51.923374","host","controller","HCI_CMD","17","Sent Create Connection","","",""
"2","01:04:51.935269","controller","host","HCI_EVT","7","Rcvd Command Status (Create Connection)","","",""
"3","01:04:52.643828","controller","host","HCI_EVT","14","Rcvd Connect Complete","","",""
"4","01:04:52.646694","host","controller","HCI_CMD","6","Sent Read Clock offset","","",""
"5","01:04:52.648730","localhost ()","WbElectr_00:12:4a ()","L2CAP","15","Sent Information Request (Extended Features Mask)","","",""
"6","01:04:52.650722","controller","host","HCI_EVT","7","Rcvd Command Status (Read Clock offset)","","",""
"7","01:04:52.652514","host","controller","HCI_CMD","6","Sent Read Remote Version Information","","",""
"8","01:04:52.654426","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","",""
"9","01:04:52.656157","WbElectr_00:12:4a ()","localhost ()","L2CAP","21","Rcvd Information Response (Extended Features Mask, Success)","","",""
"10","01:04:52.657800","controller","host","HCI_EVT","8","Rcvd Read Clock Offset Complete","","",""
"11","01:04:52.659433","localhost ()","WbElectr_00:12:4a ()","L2CAP","17","Sent Connection Request (RFCOMM, SCID: 0x004c)","","",""
"12","01:04:52.664341","controller","host","HCI_EVT","7","Rcvd Command Status (Read Remote Version Information)","","",""
"13","01:04:52.666235","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","",""
"14","01:04:52.668182","controller","host","HCI_EVT","11","Rcvd Read Remote Version Information Complete","","",""
"15","01:04:52.670197","WbElectr_00:12:4a ()","localhost ()","L2CAP","21","Rcvd Connection Response - Success (SCID: 0x004c, DCID: 0x0043)","","",""
"16","01:04:52.671810","WbElectr_00:12:4a ()","localhost ()","L2CAP","21","Rcvd Configure Request (DCID: 0x004c)","","",""
"17","01:04:52.673669","host","controller","HCI_CMD","8","Sent Change Connection Packet Type","","",""
"18","01:04:52.675166","localhost ()","WbElectr_00:12:4a ()","L2CAP","21","Sent Configure Request (DCID: 0x0043)","","",""
"19","01:04:52.676721","localhost ()","WbElectr_00:12:4a ()","L2CAP","19","Sent Configure Response - Success (SCID: 0x0043)","","",""
"20","01:04:52.678265","controller","host","HCI_EVT","7","Rcvd Command Status (Change Connection Packet Type)","","",""
"21","01:04:52.680978","host","controller","HCI_CMD","8","Sent Write Link Policy Settings","","",""
