"No.","Time","Source","Destination","Protocol","Length","Info","Data","Data Length","Bytes"
"1","02:04:11.525003","host","controller","HCI_CMD","10","Sent Vendor Command 0x001A (opcode 0xFC1A)","","",""
"2","02:04:11.527585","controller","host","HCI_EVT","7","Rcvd Command Complete (Vendor Command 0x001A [opcode 0xFC1A])","","",""
"3","02:04:11.529361","host","controller","HCI_CMD","10","Sent Vendor Command 0x0079 (opcode 0xFC79)","","",""
"4","02:04:11.531071","controller","host","HCI_EVT","7","Rcvd Command Complete (Vendor Command 0x0079 [opcode 0xFC79])","","",""
"5","02:04:11.532092","host","controller","HCI_CMD","7","Sent Vendor Command 0x0093 (opcode 0xFC93)","","",""
"6","02:04:11.533751","controller","host","HCI_EVT","7","Rcvd Command Complete (Vendor Command 0x0093 [opcode 0xFC93])","","",""
"7","02:04:11.534783","host","controller","HCI_CMD","11","Sent Vendor Command 0x007A (opcode 0xFC7A)","","",""
"8","02:04:11.536404","controller","host","HCI_EVT","7","Rcvd Command Complete (Vendor Command 0x007A [opcode 0xFC7A])","","",""
"9","02:04:11.537434","host","controller","HCI_CMD","4","Sent Reset","","",""
"10","02:04:11.562259","controller","host","HCI_EVT","7","Rcvd Command Complete (Reset)","","",""
"11","02:04:11.563131","host","controller","HCI_CMD","5","Sent Vendor Command 0x00BE (opcode 0xFCBE)","","",""
"12","02:04:11.564716","controller","host","HCI_EVT","7","Rcvd Command Complete (Vendor Command 0x00BE [opcode 0xFCBE])","","",""
"13","02:04:11.568866","host","controller","HCI_CMD","4","Sent Reset","","",""
"14","02:04:11.593826","controller","host","HCI_EVT","7","Rcvd Command Complete (Reset)","","",""
"15","02:04:11.595185","host","controller","HCI_CMD","4","Sent Read Buffer Size","","",""
"16","02:04:11.596818","controller","host","HCI_EVT","14","Rcvd Command Complete (Read Buffer Size)","","",""
"17","02:04:11.597553","host","controller","HCI_CMD","11","Sent Host Buffer Size","","",""
"18","02:04:11.599991","controller","host","HCI_EVT","7","Rcvd Command Complete (Host Buffer Size)","","",""
"19","02:04:11.600678","host","controller","HCI_CMD","4","Sent Read Local Version Information","","",""
"20","02:04:11.602090","controller","host","HCI_EVT","15","Rcvd Command Complete (Read Local Version Information)","","",""
"21","02:04:11.602777","host","controller","HCI_CMD","4","Sent Read BD ADDR","","",""
"22","02:04:11.604337","controller","host","HCI_EVT","13","Rcvd Command Complete (Read BD ADDR)","","",""
"23","02:04:11.605044","host","controller","HCI_CMD","4","Sent Read Local Supported Commands","","",""
"24","02:04:11.606590","controller","host","HCI_EVT","71","Rcvd Command Complete (Read Local Supported Commands)","","",""
"25","02:04:11.607314","host","controller","HCI_CMD","5","Sent Read Local Extended Features","","",""
"26","02:04:11.608922","controller","host","HCI_EVT","17","Rcvd Command Complete (Read Local Extended Features)","","",""
"27","02:04:11.609836","host","controller","HCI_CMD","5","Sent Read Local Extended Features","","",""
"28","02:04:11.611950","controller","host","HCI_EVT","17","Rcvd Command Complete (Read Local Extended Features)","","",""
"29","02:04:11.613289","host","controller","HCI_CMD","5","Sent Read Local Extended Features","","",""
"30","02:04:11.614813","controller","host","HCI_EVT","17","Rcvd Command Complete (Read Local Extended Features)","","",""
"31","02:04:11.615711","host","controller","HCI_CMD","5","Sent Write Simple Pairing Mode","","",""
"32","02:04:11.617287","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Simple Pairing Mode)","","",""
"33","02:04:11.618086","host","controller","HCI_CMD","6","Sent Write LE Host Supported","","",""
"34","02:04:11.619634","controller","host","HCI_EVT","7","Rcvd Command Complete (Write LE Host Supported)","","",""
"35","02:04:11.620382","host","controller","HCI_CMD","5","Sent Read Local Extended Features","","",""
"36","02:04:11.621804","controller","host","HCI_EVT","17","Rcvd Command Complete (Read Local Extended Features)","","",""
"37","02:04:11.622454","host","controller","HCI_CMD","4","Sent LE Read White List Size","","",""
"38","02:04:11.624016","controller","host","HCI_EVT","8","Rcvd Command Complete (LE Read White List Size)","","",""
"39","02:04:11.624600","host","controller","HCI_CMD","6","Sent Write LE Host Supported","","",""
"40","02:04:11.626210","controller","host","HCI_EVT","7","Rcvd Command Complete (Write LE Host Supported)","","",""
"41","02:04:11.627090","host","controller","HCI_CMD","4","Sent LE Read Buffer Size","","",""
"42","02:04:11.628752","controller","host","HCI_EVT","10","Rcvd Command Complete (LE Read Buffer Size)","","",""
"43","02:04:11.629548","host","controller","HCI_CMD","4","Sent LE Read Supported States","","",""
"44","02:04:11.631168","controller","host","HCI_EVT","15","Rcvd Command Complete (LE Read Supported States)","","",""
"45","02:04:11.631741","host","controller","HCI_CMD","4","Sent LE Read Local Supported Features","","",""
"46","02:04:11.633344","controller","host","HCI_EVT","15","Rcvd Command Complete (LE Read Local Supported Features)","","",""
"47","02:04:11.634122","host","controller","HCI_CMD","12","Sent LE Set Event Mask","","",""
"48","02:04:11.635782","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Event Mask)","","",""
"49","02:04:11.636350","host","controller","HCI_CMD","5","Sent Write Simple Pairing Mode","","",""
"50","02:04:11.637833","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Simple Pairing Mode)","","",""
"51","02:04:11.638385","host","controller","HCI_CMD","12","Sent Set Event Mask","","",""
"52","02:04:11.640035","controller","host","HCI_EVT","7","Rcvd Command Complete (Set Event Mask)","","",""
"53","02:04:11.640653","host","controller","HCI_CMD","12","Sent LE Set Event Mask","","",""
"54","02:04:11.642301","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Event Mask)","","",""
"55","02:04:11.642906","host","controller","HCI_CMD","5","Sent Write Inquiry Mode","","",""
"56","02:04:11.644424","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Inquiry Mode)","","",""
"57","02:04:11.645002","host","controller","HCI_CMD","5","Sent Write Page Scan Type","","",""
"58","02:04:11.646498","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Page Scan Type)","","",""
"59","02:04:11.647100","host","controller","HCI_CMD","5","Sent Write Inquiry Scan Type","","",""
"60","02:04:11.649979","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Inquiry Scan Type)","","",""
"61","02:04:11.650611","host","controller","HCI_CMD","7","Sent Write Class of Device","","",""
"62","02:04:11.652214","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Class of Device)","","",""
"63","02:04:11.652807","host","controller","HCI_CMD","6","Sent Write Page Timeout","","",""
"64","02:04:11.654512","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Page Timeout)","","",""
