"No.","Time","Source","Destination","Protocol","Length","Info","Data","Data Length","Bytes"
"1","23:52:30.319531","host","controller","HCI_CMD","10","Sent Vendor Command 0x001A (opcode 0xFC1A)","","",""
"2","23:52:30.320707","controller","host","HCI_EVT","7","Rcvd Command Complete (Vendor Command 0x001A [opcode 0xFC1A])","","",""
"3","23:52:30.321863","host","controller","HCI_CMD","10","Sent Vendor Command 0x0079 (opcode 0xFC79)","","",""
"4","23:52:30.322857","controller","host","HCI_EVT","7","Rcvd Command Complete (Vendor Command 0x0079 [opcode 0xFC79])","","",""
"5","23:52:30.324008","host","controller","HCI_CMD","7","Sent Vendor Command 0x0093 (opcode 0xFC93)","","",""
"6","23:52:30.325332","controller","host","HCI_EVT","7","Rcvd Command Complete (Vendor Command 0x0093 [opcode 0xFC93])","","",""
"7","23:52:30.326487","host","controller","HCI_CMD","11","Sent Vendor Command 0x007A (opcode 0xFC7A)","","",""
"8","23:52:30.327685","controller","host","HCI_EVT","7","Rcvd Command Complete (Vendor Command 0x007A [opcode 0xFC7A])","","",""
"9","23:52:30.328729","host","controller","HCI_CMD","4","Sent Reset","","",""
"10","23:52:30.338343","controller","host","HCI_EVT","7","Rcvd Command Complete (Reset)","","",""
"11","23:52:30.339598","host","controller","HCI_CMD","5","Sent Vendor Command 0x00BE (opcode 0xFCBE)","","",""
"12","23:52:30.340480","controller","host","HCI_EVT","7","Rcvd Command Complete (Vendor Command 0x00BE [opcode 0xFCBE])","","",""
"13","23:52:30.357950","host","controller","HCI_CMD","4","Sent Reset","","",""
"14","23:52:30.367645","controller","host","HCI_EVT","7","Rcvd Command Complete (Reset)","","",""
"15","23:52:30.368686","host","controller","HCI_CMD","4","Sent Read Buffer Size","","",""
"16","23:52:30.369607","controller","host","HCI_EVT","14","Rcvd Command Complete (Read Buffer Size)","","",""
"17","23:52:30.370583","host","controller","HCI_CMD","11","Sent Host Buffer Size","","",""
"18","23:52:30.371667","controller","host","HCI_EVT","7","Rcvd Command Complete (Host Buffer Size)","","",""
"19","23:52:30.372809","host","controller","HCI_CMD","4","Sent Read Local Version Information","","",""
"20","23:52:30.373664","controller","host","HCI_EVT","15","Rcvd Command Complete (Read Local Version Information)","","",""
"21","23:52:30.374520","host","controller","HCI_CMD","4","Sent Read BD ADDR","","",""
"22","23:52:30.375777","controller","host","HCI_EVT","13","Rcvd Command Complete (Read BD ADDR)","","",""
"23","23:52:30.376598","host","controller","HCI_CMD","4","Sent Read Local Supported Commands","","",""
"24","23:52:30.379668","controller","host","HCI_EVT","71","Rcvd Command Complete (Read Local Supported Commands)","","",""
"25","23:52:30.380819","host","controller","HCI_CMD","5","Sent Read Local Extended Features","","",""
"26","23:52:30.381756","controller","host","HCI_EVT","17","Rcvd Command Complete (Read Local Extended Features)","","",""
"27","23:52:30.382816","host","controller","HCI_CMD","5","Sent Read Local Extended Features","","",""
"28","23:52:30.384005","controller","host","HCI_EVT","17","Rcvd Command Complete (Read Local Extended Features)","","",""
"29","23:52:30.385188","host","controller","HCI_CMD","5","Sent Read Local Extended Features","","",""
"30","23:52:30.386174","controller","host","HCI_EVT","17","Rcvd Command Complete (Read Local Extended Features)","","",""
"31","23:52:30.387217","host","controller","HCI_CMD","5","Sent Write Simple Pairing Mode","","",""
"32","23:52:30.388382","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Simple Pairing Mode)","","",""
"33","23:52:30.389338","host","controller","HCI_CMD","6","Sent Write LE Host Supported","","",""
"34","23:52:30.390320","controller","host","HCI_EVT","7","Rcvd Command Complete (Write LE Host Supported)","","",""
"35","23:52:30.391201","host","controller","HCI_CMD","5","Sent Read Local Extended Features","","",""
"36","23:52:30.392139","controller","host","HCI_EVT","17","Rcvd Command Complete (Read Local Extended Features)","","",""
"37","23:52:30.393236","host","controller","HCI_CMD","4","Sent LE Read White List Size","","",""
"38","23:52:30.394200","controller","host","HCI_EVT","8","Rcvd Command Complete (LE Read White List Size)","","",""
"39","23:52:30.396478","host","controller","HCI_CMD","6","Sent Write LE Host Supported","","",""
"40","23:52:30.397984","controller","host","HCI_EVT","7","Rcvd Command Complete (Write LE Host Supported)","","",""
"41","23:52:30.398823","host","controller","HCI_CMD","4","Sent LE Read Buffer Size","","",""
"42","23:52:30.400029","controller","host","HCI_EVT","10","Rcvd Command Complete (LE Read Buffer Size)","","",""
"43","23:52:30.400997","host","controller","HCI_CMD","4","Sent LE Read Supported States","","",""
