Date,Time,odo mi,Duration,dist mi,elv ft,Energy,Gids,SGids,EGids,AHr,SOH,Hx,SHVolt,EHVolt,Drive,Regen,Charge,L1/L2,QC
12/01/2016,19:05:05,38534.3,01:00:17,29.2,0,10273,134,231,97,55.990,85%,71.45,0.00,0.00,10273,-666,0,2287,67
12/01/2016,20:09:21,38563.5,03:35:36,0.0,0,-10278,-135,95,230,56.029,85%,71.45,369.50,369.50,10273,0,-10278,2288,67
12/02/2016,5:45:05,38563.5,00:24:55,0.0,0,214,2,230,228,56.029,85%,71.45,392.50,392.50,10273,0,-10064,2289,67
12/02/2016,6:25:53,38563.5,00:13:15,9.3,0,3244,44,228,184,56.029,85%,71.49,392.50,392.50,3244,-248,-10064,2289,67
12/02/2016,15:38:08,38572.8,00:16:34,9.9,0,3887,51,184,133,56.042,85%,71.49,384.00,384.00,3887,-270,-10064,2289,67
12/02/2016,16:52:57,38582.8,00:14:38,6.2,0,2173,28,170,142,56.042,85%,71.50,384.00,384.00,2173,-311,0,2290,67
12/02/2016,17:58:40,38589.0,01:00:45,19.9,0,7298,93,142,49,56.049,85%,71.45,379.50,379.50,7298,-758,0,2290,67
12/02/2016,19:01:43,38608.9,04:37:00,0.0,0,-14447,-187,48,235,56.029,85%,71.45,360.00,360.00,7298,0,-14447,2291,67
12/03/2016,9:41:29,38608.9,00:13:39,7.5,0,3217,40,234,194,56.029,85%,71.45,392.50,392.50,3217,-142,-14447,2291,67
12/03/2016,10:05:38,38616.3,00:03:41,1.2,0,531,7,193,186,56.029,85%,71.45,384.00,384.00,531,-12,-14447,2291,67
12/03/2016,10:16:04,38617.6,00:12:20,7.5,0,2883,38,185,147,56.029,85%,71.48,383.50,383.50,2883,-311,-14447,2291,67
12/04/2016,13:27:26,38625.0,00:46:02,23.6,0,6135,81,233,152,56.042,85%,71.48,384.00,384.00,6135,-846,0,2295,67
12/04/2016,14:55:39,38648.7,00:03:56,0.6,0,178,0,151,151,56.042,85%,71.48,380.00,380.00,178,-32,0,2295,67
12/04/2016,17:02:32,38649.3,00:01:57,0.6,0,211,1,150,149,56.042,85%,71.48,384.00,384.00,211,-22,0,2295,67
12/04/2016,17:19:21,38649.9,00:27:10,22.4,0,7802,105,148,43,56.042,85%,71.48,384.00,384.00,7802,-557,0,2295,67
12/05/2016,6:24:05,38672.3,00:14:46,9.3,0,3619,47,228,181,56.042,85%,71.48,384.00,384.00,3619,-143,0,2297,67
12/05/2016,15:10:32,38681.6,00:15:01,9.9,0,3084,41,180,139,56.042,85%,71.48,379.50,379.50,3084,-500,0,2297,67
12/05/2016,15:26:10,38691.5,01:18:52,0.0,0,-3599,-49,137,186,56.042,85%,71.48,374.50,374.50,3084,0,-3599,2298,67
12/05/2016,16:45:32,38691.5,00:22:50,15.5,0,5213,66,185,119,56.042,85%,71.52,385.00,385.00,5213,-353,-3599,2298,67
12/05/2016,18:09:08,38707.1,00:28:33,16.8,0,5468,72,118,46,56.055,85%,71.52,376.00,376.00,5468,-472,-3599,2298,67
12/06/2016,13:01:54,38743.1,00:16:29,9.3,0,2079,26,171,145,56.055,85%,71.52,376.00,376.00,2079,-446,0,2305,67
12/07/2016,17:41:00,38792.8,02:25:14,0.0,0,-5107,-21,157,178,56.055,85%,71.52,376.00,376.00,0,0,-5115,2316,67
12/08/2016,6:22:30,38792.8,00:14:16,9.9,0,3373,44,226,182,56.055,85%,71.52,376.00,376.00,3373,-155,0,2317,67
12/08/2016,16:46:15,38802.8,00:13:14,9.3,0,3839,50,181,131,56.055,85%,71.52,376.00,376.00,3839,-272,0,2317,67
12/09/2016,6:28:45,38812.1,00:21:25,9.9,0,3484,45,224,179,56.055,85%,71.52,376.00,376.00,3484,-140,0,2319,67
12/09/2016,16:03:23,38822.0,00:16:28,9.3,0,3880,49,178,129,56.055,85%,71.52,376.00,376.00,3880,-311,0,2319,67
12/09/2016,18:27:40,38831.3,00:42:50,19.3,0,6352,80,200,120,56.055,85%,71.52,376.00,376.00,6352,-474,0,2320,67
12/09/2016,20:13:28,38850.6,00:40:03,18.6,0,6410,88,118,30,56.055,85%,71.52,376.00,376.00,6410,-627,0,2320,67
